민원접수번호,공개여부,민원제목,민원내용,글조회수,주소,첨부파일,민원등록일,민원수정일,민원답변일,처리부서,진행상태
1831,공개,이러한 공무원이있어 살맛이난다,"너무 너무 감사하고 그 친절함과 정확함에 우리 김해도 이젠 수준도 높아지고 살맛이 나는 행복도시인 것 같다 
법을 몰라 부동산 실거래명의 등기에 관한 법을 위반해서 김해시 토지정보과로 부터 소명제출 해달라는 통보를 받고 2015년 12월 부터 2016년 6월 17일까지 이 사건을 처리하는 과정에서 담당주사 임범철씨는 민원인을 대하는 모습은 우리나라 공무원의 귀감이 될 수 있기에 칭찬을 합니다. 정말 너무너무 친절했고 민원인의 입장에서 처리하는 모습은 그동안 시민들은 일반적으로 공무원들은 권위적이고 불친절하고 원칙과 규정만 내세우며 갑질의 모습이라고 생각해서 항상 시청에 일를 보러올때마다 죄지은 사람처럼 주눅이 들었으나 이번에 이사건을 처리하는 과정을 보면서 아주 편안하고 모르는 것은 친절하게 차분히 조리있게 설명하면서 어떻게하든지 시민을 위한 방향으로 처리해 주려는 모습에 감동을 받았다 그리고 방문할 때마다 항상 밝은 모습으로 웃으며 샹냥하게 대하는 그 모습이 한 가족같은 느낌을 받았고 잠시 자리를 비울때도 양해를 구하면서 친절하게 처리하는 이러한 공무원이 있기에 시민들은 행복하고 살맛이 나고 감사합니다. 
임범철 주사님 ! 너무너무 감사 합니다. 


",32,,,2016-06-27,2016-06-27,,,
1830,공개,김해시 차량등록사업소의 최애자 계장님을 칭찬드립니다.,"저는 김해시민으로 차량등록과 관련된 몇몇 문의 사항을 가지고 차량등록사업소에 문의 전화를 드렸어요. 
자신이 알고자했던 모든 사항을 만족도 높게 알 수 있었습니다. 
민원이 많은 곳으로 상당히 바쁘실텐데 부담감 하나 안갖도록 말씀으로 배려하시면서 
눈높이까지 맞춰 안내를 해 주셔서 감사를 넘어선 감동을 주신 분은, 
김해시 차량등록사업소 최애자계장님이십니다. 
자신이 거주하는 김해시에 이런 인간적이고 적극적인 상대방 중심의 민원처리를 하시는 분이 계시다는게 
자랑스럽습니다. 
김해시 등록계장님(최애자계장님)을 칭찬드립니다. 
언제든 
누구에게든 
그리하실분으로 감사드리며, 자신을 아끼지 않으시는 모습에서 흡입력을 느끼며 늘 건강하시고 행복하시기 바랍니다. 

※ 성함자는 홈페이지에서 직원안내표를 통해 알았슴을 적습니다 


",21,,,2016-06-21,2016-06-21,,,
1829,공개,칭찬합니다,"사랑하는시장님 자기업무에 대해서 이렇게 신속하게처리해주신 직원분이 있기에 항상든든하시겠습니다 시장님강사합니다 

가로등담당 김명숙님 과 교체수리하여주신 직원분께감사합니다 신속하게 처리해주셔서 너무감사합니다 

그리고 보건소방역딤당님과 소독실시하여주신 직원분께감사합니다 신발공장화재로인하여 모기들이극성입니다 수고스럽지만 일주일에한번씩만 신발공장폐기물처리할때까지 부탁드립니다 수고하셨습니다",40,,,2016-06-20,2016-06-20,,,
1828,공개,김해목재체험관 직원분 감사합니다.,"가까운곳에 목재체험관이 있어서 자주 이용합니다. 
깨끗하고 편리하고 조금 어린아이가 뛰어놀아도 안전해서 마음편하게 이용하는데 
평일이라 오늘 유아놀이터 이용객은 저와 아이 단 둘뿐이었는데 
다른 이용객이 와서 실랑이가 있었습니다. 
그 이용객이 일방적으로 직원분들을 몰아세우고 저도 중간에서 난처한 상황이었는데 
직원분들이 전혀 동요하지 않고 끊임없이 사과하면서 그 이용객의 요구사항을 다 들어주면서 
저에게 피해가 가지 않게 해주셨습니다. 
제가 되려 그분들에게 죄송할정도였으나 
의연하게 대처해주셔서 감사합니다.",23,,,2016-06-14,2016-06-14,,,
1827,공개,"박기수, 이승희님 감사합니다.","안녕하세요..저는 김해소방서에 근무 하시는 박기수, 이승희님 두분한테 감사하다는 말을 하고 싶어 이렇게 몇자 적습니다. 
6월2일 저희 남편이 부산에서 삼량진쪽으로 가다 교통사고를 당했습니다. 남편은 사고 직후 바로 병원으로 이송되어 가서 정신이 없는 상황이었습니다..저도 경황이 없어고요.... 
조금 후에 어떤분이 전화가 와서 받으니 저희 남편 개인소지품을 보관하고 계신다고 하면서 어디로 보내드리면 되냐고 해서 집이 부산이니 그럼 택배로 부탁한다고 하니 그자기도 집이 부산이니 직접 저희집까지 소지품을 갖다 주셨습니다.. 
사고 났을때 주위에 있는 거 다 챙겨서 직접 다 저희집까지 갖다 주셨습니다... 
그동안 경황이 없어 제대로 인사도 못하고 얼굴도 못뵙고 죄송하고 정말 고맙습니다... 
이글을 비롯해 감사하다는 말을 전하고 싶습니다....",26,,,2016-06-14,2016-06-14,,,
1826,공개,영남알프스로,"새로운 달 6월! 
신록 무성한 계절을 맞아 
눈부신만큼이나 새 시정의 집무에 땀의 열정과 희망찬 내일의 김해를 위해 수고해주시는 
시청직원 모든 분들께 찬사를 보내며...",19,,영남알프스로1.hwp?,2016-06-05,2016-06-05,,,
1825,공개,왕릉지구대,안녕하세요 왕릉지구대 경찰관분들에게 예전부터 감사의 표시를 하고싶었는데 이제야 하네요 저희 가게가 부원동에 상습 불법 주정차 지역에 있어서 주말이나 새벽 정말 물건들어오는 차가 들어오면 정말 골치 아픈곳이거든요 이 불법 차주들이 전화를 안받는경우가 다반사여서 김해는 레카차를 부르는곳도없고 왕릉지구대 경찰관분들께 해결을 부탁했었는데요 항상 전화하면 친철히 응대해주시고 오셔서 끝가지 해결해주셨습니다 . 이번 토요일에는 새벽에 저희가게 앞에 떡하니 차가 주차되어서 전화해도 안받고 완전 난감했는데 왕릉지구대 경찰분 두분이 오시고 확성기로 말하시니 단번에 차주가 나왔지요 근데 차주는 술취해서 자고있다 쩝 .... 경찰관님은 두말없이 그차를 이동주차 까지 해주시니 정말 감동 이였습니다. 항상 묵묵히 자질구레한 일까지 해주시며 도와주시니 정말 감사합니다.,17,,,2016-06-05,2016-06-05,,,
1824,공개,김해문화원과 김해오광대풍물단원분들께 감사한 마음 전합니다.,"2016년 6월 2일(목) 장유에 위치한 어린이집에서 이번 달 주제인 ""소리""에 관한 프로젝트 수업을 
진행하던 중 우리 어린이들이 서양악기인 현악기에 대해선 많이 알고 있는데 정작 
우리 전통 악기에 대해선 낯설어 하고 경험해 보지 못한 아쉬움으로 여기 저기를 알아보게 되었다. 
부산 국악원에도 연락을 해서 미 취학어린이들이 경험하고 체험할 수 있는 공연이나 악기 체험에 대한 
프로그램이 있는지 알아보았지만 없었다. 
그러던 중 김해문화원에 연락을 하였고 문화원 원장님께서 우리 어린이들을 위해 공연장을 선뜻 내어 
주셨고, 김현후 사무국장님의 공연에 대한 설명과 사회로 진행되었습니다. 
무형 문화재 제 37호 예능보유자 김해 오광대풍물단 이명식 단장님과 단원여러분들께서 
우리 어린이들을 위해 귀한 시간을 내셔서 
한 시간가량의 공연과 사물악기체험, 악기설명과 아리랑를 가르쳐주셨습니다, 
사물악기 징-(바람), 북-(구름),장구- (비), 쾡과리-(천둥)소리가 자연현상을 나타낸다는 것, 
저 또한 새롭게 알게 되었고, 어린이들도 가정에서 부모님께 사물악기의 뜻을 물어보았고 
아리랑을 모르면 우리나라 사람이 아니라고 했다 합니다. 
이 음악이 그 어떤 음악보다도 한 민족이 갖고 있는 신명을 유감없이 발휘하는 음악이라는 것입니다. 
이 소중한 체험과 경험이 우리 어린이들에게 오래토록 잊혀지지 않는 행복한 기억으로 각인될 것입니다. 
60년의 전통을 가진 김해 문화원에서 
많은 사업을 계획하시고 추진하시는 노고에 박수 보내 드립니다. 
김해 관내에 있는 미 취학어린이들이 김해문화(전통악기,김해설화이야기,등등)를 체험하고 
경험할 수 있는 공간과 기회가 제공되었으면 하는 바램을 가져 봅니다. 
다시 한번 머리 숙여 감사드립니다.~ 
김해 문화원 관계자 여러분과 김해 오광대풍물단 여러분 고맙습니다. 
문화원의 무궁한 발전이 있으시길 기원드립니다.~~~",22,,사물놀이공연과체험.hwp?,2016-06-03,2016-06-03,,,
1823,공개,김해시보건소 주차관리 할아버지를 칭찬합니다.,"오늘 한달된 신생아 데리고 예방접종하러 외동 보건소에 갔습니다. 
차 한대가 주차장에 잘못 주차를 하는바람에 주차장이 엉망이 되서 들어가지도 
못하는 상황이었어요. 성함 끝에 석 자가 들어가는 분이었는데 
아기 예방접종 못하고 돌아가면 안되지하시며 주차할 자리도 마련해주시고 
더운데 친절하게 안내해주셔서 빨리 접종을 마치고 돌아왔습니다. 
감사하다는 말씀 드리고 싶습니다.",22,,,2016-06-01,2016-06-01,,,
1822,공개,친절택시기사님,오늘 새벽에 진영에서 한림으로가기위해 택시를 탓습니다. 술값내고 남은거 1만원뿐 그정도면 갈수있겠구나 싶었는데 돈이 모자르더군요 그래서 기사님께 만원뿐이니 금액만큼만 가서 내려달라고 했습니다. 기사님도 약속이있으시더라구요 근데 거기까지 올라가는길이 멀다시면서 가려했던목적지 까지 만원만 받으시고 내려주셨습니다. 정말감사하더라구요 이런분들 만나기가 쉽지않은데 정말감사해서 사진을 무작정 찍었네요 다시한번 감사합니다 기사님,16,,20160531_025019.jpg?,2016-05-31,2016-05-31,,,
